unknown_user,2023-04-11 01:42:16.576570,alex,Yes,Yes,No,Yes,No,Yes,No,Yes
unknown_user,2023-04-11 18:00:12.421802,alex,500,No,No,No,Yes,No,Yes,No,Yes
unknown_user,2023-04-11 19:23:40.394413,alex,500,No,No,No,No,No,No,No,No
unknown_user,2023-04-11 19:30:12.650744,invoice,500,No,No,No,No,No,No,No,No
unknown_user,2023-04-11 19:36:04.086240,SUpplier 5,120,No,No,Yes,Yes,Yes,No,Yes,Yes
unknown_user,2023-04-11 19:36:33.341834,Toyama corp,80,No,No,Yes,Yes,No,No,Yes,Yes
unknown_user,2023-04-11 19:37:04.021871,post plat,56,No,No,No,No,No,No,No,Yes
unknown_user,2023-04-11 19:37:27.422957,alexandre@tradecapitalcorp.com,87,No,Yes,Yes,No,Yes,Yes,No,Yes
unknown_user,2023-04-11 19:37:40.647469,cdcdsvsdvsd,85,Yes,Yes,No,No,Yes,Yes,No,Yes
unknown_user,2023-04-11 19:38:18.498202,godd,120,No,No,Yes,Yes,No,Yes,Yes,Yes
unknown_user,2023-04-11 19:40:04.491895,"ertyuioplk,jnbvcx",45,No,No,No,No,Yes,Yes,No,No
unknown_user,2023-04-12 01:24:26.892062,alexandre@tradecapitalcorp.comazerty,144,No,Yes,No,Yes,Yes,Yes,Yes,Yes
unknown_user,2023-04-12 01:24:49.055137,TTTYYYYSSSS,80,Yes,No,Yes,No,Yes,No,No,No
unknown_user,2023-04-12 01:25:04.718915,AZCSCS,89,No,Yes,No,Yes,No,Yes,No,Yes
unknown_user,2023-04-12 01:26:48.906271,alexandre@tradecapitalcorp.comazertycsscs,78,Yes,Yes,No,Yes,No,No,No,No
unknown_user,2023-04-12 15:09:51.639566,alex,No,No,No,No,No,No,No,No
unknown_user,2023-04-12 15:11:49.922903,alex,45,No,Yes,No,Yes,No,Yes,No,Yes
unknown_user,2023-04-12 15:14:16.268127,cscsc,78,No,Yes,No,Yes,Yes,Yes,Yes,Yes
unknown_user,2023-04-12 15:17:35.655485,alex,78,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
unknown_user,2023-04-12 15:22:03.589357,alex,78,No,No,Yes,Yes,No,No,Yes,No
unknown_user,2023-04-12 16:43:04.762333,Supplier 1 ,89,Yes,No,Yes,No,Yes,No,Yes,No
unknown_user,2023-04-12 16:43:20.731328,Supplier 2,45,No,No,No,Yes,Yes,Yes,No,Yes
unknown_user,2023-04-12 16:43:41.601338,Supplier 3,20,Yes,No,Yes,No,Yes,Yes,Yes,Yes
unknown_user,2023-04-12 16:44:13.794342,Supplier 4,80,No,No,Yes,Yes,No,Yes,Yes,Yes
unknown_user,2023-04-12 16:44:42.249708,Supplier 5,55,No,No,Yes,Yes,No,No,Yes,No
unknown_user,2023-04-12 16:45:36.488505,Supplier 6,70,No,No,No,Yes,No,Yes,Yes,No
unknown_user,2023-04-12 16:45:57.375348,Supplier 7,65,No,No,No,Yes,No,Yes,No,Yes
unknown_user,2023-04-12 16:46:58.679468,Supplier 8,40,No,Yes,Yes,No,Yes,No,No,Yes
unknown_user,2023-04-12 16:47:54.062179,Supplier 9,75,No,Yes,No,No,Yes,Yes,No,Yes
unknown_user,2023-04-12 16:48:57.877629,Supplier 10,80,No,No,Yes,Yes,Yes,No,No,No
unknown_user,2023-04-13 15:46:41.965761,alex,87,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
unknown_user,2023-04-13 15:49:41.907907,alex,55,Yes,Yes,No,Yes,No,Yes,No,Yes
unknown_user,2023-04-13 15:52:03.228947,alex,588,Yes,Yes,Yes,No,No,No,Yes,Yes
unknown_user,2023-04-13 15:54:30.437213,invoice,78,Yes,Yes,No,No,Yes,Yes,No,No
unknown_user,2023-04-13 15:56:01.455727,invoice,89,No,No,No,Yes,Yes,Yes,Yes,No
unknown_user,2023-04-13 15:57:10.971803,alex,56,No,No,Yes,Yes,No,Yes,Yes,Yes
unknown_user,2023-04-13 16:02:26.554411,Supplier 1,78,No,No,Yes,Yes,No,No,Yes,Yes
unknown_user,2023-04-13 16:02:44.133096,Supplier 2,78,Yes,Yes,No,No,Yes,Yes,Yes,No
tcc_internal_access,2023-04-13 17:03:23.650784,global test,58,No,Yes,No,Yes,No,Yes,No,Yes
Eatonsuppliers,2023-04-13 17:04:36.807776,dinner test,96,No,No,Yes,Yes,No,No,Yes,Yes
Eatonsuppliers,2023-04-13 17:05:04.476349,test counter,96,No,Yes,No,Yes,No,Yes,Yes,No
tcc_admin_access,2023-04-13 17:55:06.241079,alex,789,No,No,Yes,Yes,No,No,Yes,Yes
unknown_user,2023-06-28 17:59:02.071870,alex-test,200,No,No,Yes,Yes,No,No,Yes,Yes
unknown_user,2023-06-28 18:17:37.200174,alex-test3,588,Yes,Yes,No,No,Yes,Yes,No,Yes
unknown_user,2023-06-28 23:58:41.345935,alex-test,52,No,Yes,Yes,Yes,Yes,No,Yes,No
